user_id,movie_id,movie_name,actors,release_time,score,movie_type,duration,release_place,cumulative_box_office
77,248667,恐怖游泳馆,姚雨鑫 /张蓝艺 /丁汇宇,2015/7/31,5.7,恐怖 / 惊悚,88分钟,中国大陆,423(万)
128,13484,老男孩,崔岷植 /刘智泰 /姜惠贞,2003/11/21,8.4,剧情 / 动作 / 悬疑 / 惊悚,120分钟,韩国,暂无
5,66216,孤岛惊魂,陈小春 /杨幂 /叶山豪,2011/7/8,6.2,悬疑 / 惊悚 / 恐怖,94分钟,中国大陆,8891(万)
67,78621,爸爸去哪儿,林志颖 /黑米哥哥 /小小志,2014/1/31,8.4,喜剧 / 冒险 / 家庭,95分钟,中国大陆,69652(万)
313,78845,特工艾米拉,许绍洋 /吴靖萱 /邹兆龙,2014/4/11,5.3,动作 / 悬疑,96分钟,中国大陆,721(万)
43,246583,陪安东尼度过漫长岁月,刘畅 /白百何 /唐艺昕,2015/11/13,7.8,剧情 / 爱情,121分钟,中国大陆,6258(万)
177,78892,破风,彭于晏 /窦骁 /崔始源,2015/8/6,9,剧情 / 爱情 / 运动,125分钟,中国大陆,14507(万)
397,78319,安德的游戏,哈里森·福特 /阿沙·巴特菲尔德 /海莉·斯坦菲尔德,2014/1/7,8.4,动作 / 科幻 / 冒险,114分钟,美国,13870(万)
3,78418,风暴,刘德华 /姚晨 /林家栋,2013/12/12,8.2,动作 / 惊悚 / 犯罪,109分钟,"中国香港,中国大陆",31455(万)
139,247096,我的个神啊,阿米尔·汗 /安努舒卡·莎玛 /苏尚特·辛格·拉吉普特,2015/5/22,9,喜剧 / 爱情 / 奇幻,153分钟,印度,11802(万)
113,246308,再次出发之纽约遇见你,凯拉·奈特莉 /马克·鲁法洛 /亚当·莱文,2015/6/26,9.2,喜剧 / 爱情 / 音乐,105分钟,美国,2024(万)
202,78177,秦时明月之龙腾万里,冯骏骅 /季冠霖 /沈达威,2014/8/8,9.3,动画 / 冒险 / 奇幻,91分钟,中国大陆,5955(万)
180,78327,她,斯嘉丽·约翰逊 /艾米·亚当斯 /鲁妮·玛拉,2013/10/12,8.3,剧情 / 爱情 / 科幻,126分钟,美国,暂无
158,246049,一路惊喜,郭采洁 /凤小岳 /赵丽颖,2015/2/6,7.7,爱情 / 家庭 / 喜剧,108分钟,中国大陆,6914(万)
270,214,单身男女,古天乐 /吴彦祖 /高圆圆,2011/3/31,7.7,爱情 / 剧情,115分钟,中国香港,9517(万)
33,78113,盲探,刘德华 /郑秀文 /郭涛,2013/7/4,8.1,剧情 / 喜剧 / 犯罪,129分钟,"中国大陆,中国香港",21352(万)
361,78386,救火英雄,谢霆锋 /余文乐 /任达华,2014/1/3,9,灾难,115分钟,"中国香港,中国大陆",7737(万)
450,5734,英雄本色2,石天 /狄龙 /张国荣,1987/12/17,7.6,剧情 / 动作 / 惊悚 / 犯罪,104分钟,中国香港,暂无
386,78730,笔仙惊魂3,郭艳 /郭鑫 /郎鹏,2014/4/4,5.4,悬疑 / 惊悚 / 恐怖,93分钟,中国大陆,3527(万)
271,78532,恶战,毛俊杰 /伍允龙 /安志杰,2014/1/10,8.2,剧情 / 动作,95分钟,"中国香港,中国大陆",781(万)
368,818,赵一曼,张莹 /石灵 /傅杰,1950/5/1,6.4,剧情,100分钟,中国大陆,暂无
500,5430,倩女幽魂,张国荣 /王祖贤 /午马,2011/4/30,9,爱情 / 奇幻 / 武侠 / 古装,98分钟,中国香港,暂无
363,703,搞定岳父大人,徐峥 /许绍雄 /林鹏,2012/8/3,7.7,喜剧,91分钟,中国大陆,1749(万)
286,235675,东方红,李光羲 /杨和柏 /寇家伦,1965/10/1,8.4,剧情 / 歌舞 / 历史,120分钟,中国大陆,暂无
356,248568,猪猪侠之终极决战,陆双 /祖晴 /陈志荣,2015/7/10,8.5,喜剧 / 动画 / 冒险,91分钟,中国大陆,4542(万)
465,78375,达拉斯买家俱乐部,马修·麦康纳 /詹妮弗·加纳 /杰瑞德·莱托,2013/10/10,8.6,剧情 / 传记,117分钟,美国,暂无(万)
277,246676,剩者为王,舒淇 /彭于晏 /潘虹,2015/11/6,7.7,剧情 / 爱情,100分钟,中国大陆,6141(万)
162,152,三国之见龙卸甲,刘德华 /洪金宝 /李美琪,2008/4/3,7.3,动作,102分钟,"中国大陆,韩国,中国香港",6396(万)
73,867,阳光姐妹淘,沈恩京 /闵孝琳 /姜素拉,2011/5/4,8.6,剧情 / 喜剧,124分钟,韩国,暂无
40,246189,巴黎假期,古天乐 /郭采洁 /文咏珊,2015/7/31,8,剧情 / 喜剧 / 爱情,113分钟,中国大陆,1789(万)
233,10345,圣诞快乐,麦嘉 /徐小凤 /陈百强,1984/12/12,7.3,剧情,96分钟,中国香港,暂无
356,247177,浪漫天降,夏雨 /关晓彤 /邱泽,2015/10/23,7,喜剧 / 爱情,93分钟,中国大陆,785(万)
482,594,小兵张嘎,安吉斯 /张莹 /吴克勤,1963,暂无评分,剧情 / 儿童 / 战争,106分钟,中国大陆,暂无
299,4729,年轻姑娘,巴西尔·拉德福德 /阿尔弗雷德·希区柯克 /珀西·马里蒙特,1937/11/1,7.1,犯罪 / 悬疑 / 爱情,80分钟,英国,暂无
177,23,《功夫梦》,贾登·史密斯 /成龙 /塔拉吉·P·汉森,2010/6/22,7.6,动作,140分钟,"美国,中国大陆",4714(万)
242,12635,情圣,周星驰 /毛舜筠 /张耀扬,1991/10/10,7,喜剧,96分钟,中国香港,暂无
205,78707,纵横四海,周润发 /张国荣 /钟楚红,1991/2/2,7.2,动作 / 爱情,108分钟,中国香港,暂无
172,482,痞子英雄之全面开战,黄渤 /赵又廷 /杨颖,2012/6/19,7.8,剧情,157分钟,"中国大陆,中国台湾",8726(万)
122,34558,这个男人来自地球,大卫·李·史密斯 /托尼·托德 /约翰·比灵斯列,2007/11/13,8.4,剧情 / 奇幻 / 科幻,89分钟,美国,暂无
335,246126,万物生长,范冰冰 /韩庚 /齐溪,2015/4/17,7,剧情 / 爱情,105分钟,中国大陆,14809(万)
259,72628,狩猎,麦斯·米科尔森 /托玛斯·博·拉森 /Steen Ordell Guldbrand Jensen,2012/5/20,7.9,剧情,115分钟,"丹麦,瑞典",暂无
2,78032,快乐大本营之快乐到家,何炅 /谢娜 /李维嘉,2013/1/15,5.9,喜剧,97分钟,中国大陆,15351(万)
497,4963,煤气灯下,查尔斯·博耶 /英格丽·褒曼 /约瑟夫·科顿,1944/5/11,7.9,剧情 / 犯罪 / 黑色电影,114分钟,美国,暂无
383,73973,邻居,金允珍 /马东锡 /金赛纶,2012/8/22,7.3,惊悚,115分钟,韩国,暂无
334,78472,天才眼镜狗,泰·布利尔 /黄渤 /麦克斯·查尔斯,2014/3/28,9.2,动画 / 冒险 / 科幻,92分钟,美国,12148(万)
251,85,双城计中计,任贤齐 /腾格尔 /熊乃槿,2012/2/24,6.6,剧情,98分钟,中国大陆,2301(万)
241,246042,马达加斯加的企鹅,汤姆·麦克格雷斯 /克里斯托弗·奈特 /本尼迪克特·康伯巴奇,2014/11/14,9.1,动画 / 冒险 / 喜剧,92分钟,美国,25306(万)
118,245867,临时同居,张家辉 /郑秀文 /杨颖,2014/8/21,5.6,爱情 / 喜剧,100分钟,"中国香港,中国大陆",10091(万)
372,79067,美女与野兽,文森特·卡索 /蕾雅·赛杜 /安德烈·杜索里埃,2014/9/12,8.2,爱情 / 奇幻,112分钟,"法国,德国",1628(万)
105,248968,七月半之恐怖宿舍,翟子陌 /余心恬 /马元,2015/8/14,4.7,悬疑 / 惊悚,92分钟,中国大陆,1225(万)
261,248858,张震讲故事之鬼迷心窍,张翰 /张俪 /李心艾,2015/7/3,4.4,悬疑 / 惊悚,89分钟,中国大陆,2089(万)
44,387,赛德克·巴莱,林庆台 /马志翔 /安藤政信,2012/5/10,8.6,剧情 / 历史 / 战争,153分钟,中国台湾,1653(万)
261,301551,给爸爸的信,李连杰 /梅艳芳 /谢苗,1995/3/2,7.5,剧情 / 动作,104分钟,中国香港,暂无
142,40499,源代码,杰克·吉伦哈尔 /米歇尔·莫纳汉 /维拉·法梅加,2011/8/30,8.5,科幻 / 悬疑 / 惊悚,94分钟,"美国,加拿大",6684(万)
486,78466,疯狂72小时,闫妮 /耿乐 /邵兵,2014/6/6,7.2,喜剧,99分钟,中国大陆,2726(万)
311,60854,往复惊魂,达斯汀·米利甘 /阿曼达·克鲁 /理查德·德克勒克,2010/9/13,6,剧情 / 惊悚,89分钟,加拿大,暂无
299,247897,十月初五的月光,张智霖 /佘诗曼 /薛家燕,2015/11/20,8.1,剧情 / 爱情,45分钟,中国大陆,4256(万)
95,791,勇士,乔尔·埃哲顿 /汤姆·哈迪 /尼克·诺特,2011/9/9,8.7,剧情,140分钟,美国,暂无(万)
418,937,血滴子,黄晓明 /阮经天 /李宇春,2012/12/20,6.2,动作 / 武侠 / 古装,112分钟,"中国香港,中国大陆",7185(万)
183,246816,第三种爱情,刘亦菲 /宋承宪 /欧弟,2015/9/25,7.8,爱情,113分钟,中国大陆,7308(万)
240,248738,惊魂电影院,林晓凡 /王晔 /赵圆圆,2015/6/19,3.5,恐怖 / 惊悚,90分钟,中国大陆,868(万)
267,248592,黑猫警长之翡翠之星,赵路 /吴天昊 /林子杰,2015/8/7,8.3,喜剧 / 动画 / 动作,85分钟,中国大陆,7182(万)
12,78459,奥林匹斯的陷落,杰拉德·巴特勒 /阿伦·伊克哈特 /摩根·弗里曼,2013/12/29,8.4,动作 / 犯罪,120分钟,美国,3999(万)
333,236,雪花秘扇,李冰冰 /全智贤 /邬君梅,2011/6/24,6.9,剧情,104分钟,"中国大陆,美国",3456(万)
