东莞市互生美甲产品有限公司	广东省东莞市石排镇李横路287号103室	91441900559103860G	广东省药品监督管理局	东莞市市场监督管理局	2021-07-24	2020-12-10	
东莞市互生美甲产品有限公司	苏州工业园区银胜路58号	91441900559103860G	广东省药品监督管理局	江苏省药品监督管理局（苏州分局）	2021-07-24	2020-12-10	
四川隆力奇实业有限公司	广州市番禺区大龙街市新路新水坑段4号2-5层	91510112794939158Q	四川省药品监督管理局	番禺区局大龙市场监管所	2021-08-18	2020-11-30	
东莞市互生美甲产品有限公司	广州市白云区均禾街罗岗村新星工业区1号A区	91441900559103860G	广东省药品监督管理局	白云区局均禾市场监管所	2021-07-24	2020-12-10	
东莞市互生美甲产品有限公司	广州市白云区人和镇鹤亭工业区北四路3号（A栋101、102、201，B栋1、3楼）	91441900559103860G	广东省药品监督管理局	白云区局人和市场监管所	2021-07-24	2020-12-10	
东莞市互生美甲产品有限公司	广州市白云区白云湖街大朗直路28号6楼之一	91441900559103860G	广东省药品监督管理局	白云区局石井市场监管所	2021-07-24	2020-12-10	
东莞市互生美甲产品有限公司	广州市花都区新华街新华工业区大布路30号	91441900559103860G	广东省药品监督管理局	花都区局秀全市场监管所	2021-07-24	2020-12-10	
东莞市互生美甲产品有限公司	广州市从化城郊街横江路339-12号	91441900559103860G	广东省药品监督管理局	从化区局城郊市场监管所	2021-07-24	2020-12-10	
东莞市互生美甲产品有限公司	广州市白云区钟落潭镇金盆骑马场四路2号101房	91441900559103860G	广东省药品监督管理局	白云区局钟落潭市场监管所	2021-07-24	2020-12-10	
东莞市互生美甲产品有限公司	广州市白云区太和镇龙归南岭龙岗路6号101室、201室	91441900559103860G	广东省药品监督管理局	白云区局太和市场监管所	2021-07-24	2020-12-10	
东莞市互生美甲产品有限公司	广州市白云区钟落潭镇金盆村政农路6号B幢厂区一、二楼	91441900559103860G	广东省药品监督管理局	白云区局钟落潭市场监管所	2021-07-24	2020-12-10	
广州汉御生物科技有限公司	广州经济技术开发区永和经济区来安一街3号A栋	91440101MA5CQXCPXL	广东省药品监督管理局	黄埔区市场监管局	2024-10-21	2020-12-11	
东莞市互生美甲产品有限公司	广州市白云区南岭岗埔五街5号1-2楼	91441900559103860G	广东省药品监督管理局	白云区局太和市场监管所	2021-07-24	2020-12-10	
广州莉妍生物科技有限公司	广东省中山市三乡镇第二工业区	914401113275562037	广东省药品监督管理局	中山市市场监督管理局	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市白云区唐阁大唐路18号1、2、3层	914401113275562037	广东省药品监督管理局	白云区局白云湖市场监管所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市白云区田心街168号	914401113275562037	广东省药品监督管理局	白云区局太和市场监管所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市花都区新华街新华工业区永祥路32-2栋	914401113275562037	广东省药品监督管理局	花都区局秀全市场监管所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市白云区江高镇神山工业园振兴北路22号3栋101、201、202，4栋101、202、302	914401113275562037	广东省药品监督管理局	白云区局江高市场监管所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市花都区花山镇元田路1号之二A栋、B栋1-3层、C栋	914401113275562037	广东省药品监督管理局	花都区局花山市场监管所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市白云区太和镇南岭桥头南街30号	914401113275562037	广东省药品监督管理局	白云区局太和食品药品监督管理所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市白云区钟落潭镇良田金盆村永福路37号	914401113275562037	广东省药品监督管理局	白云区局钟落潭市场监管所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市白云区均禾街清湖村清湖新工业路一横路18-2第2层、第3层、第4层	914401113275562037	广东省药品监督管理局	白云区局均禾市场监管所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市白云区江高镇神山珠水一路36号1栋二楼、三楼	914401113275562037	广东省药品监督管理局	白云区局江高市场监管所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市增城区新塘镇塘美村大塱（厂房A2）4楼	914401113275562037	广东省药品监督管理局	增城区局新塘市场监管所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	清远市清城区石角镇广州（清远）产业转移工业园创新路5号天诺通讯C栋厂房2、3层	914401113275562037	广东省药品监督管理局	清远市清城区市场监督管理局	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	广州市从化区广东从化经济开发区高技术产业园丰盈四巷1号厂房C	914401113275562037	广东省药品监督管理局	从化区太平市场监管所	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	重庆市合川区工业园区堰口村二社	914401113275562037	广东省药品监督管理局	重庆市药品监督管理局检查一局	2024-01-13	2020-12-17	
广州莉妍生物科技有限公司	云南省昆明市高新技术产业区留学生创业园A栋南翼102	914401113275562037	广东省药品监督管理局	云南省药品监督管理局	2024-01-13	2020-12-17	
广州和陆生物科技有限公司	广州市白云区南岭岗埔路五街4号六楼	914401113402260652	广东省药品监督管理局	白云区局太和市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市白云区黄石东路江夏村园下底路200号自编1栋工业楼501房（自主申报）	914401113402260652	广东省药品监督管理局	白云区局黄石市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市白云区太和镇北村一社土名&ldquo;横索&rdquo;自编5号之一	914401113402260652	广东省药品监督管理局	白云区局太和市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市白云区人和镇建南村白象岭大道12号	914401113402260652	广东省药品监督管理局	白云区局人和市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市白云区人和镇鹤亭村秀盛路168号	914401113402260652	广东省药品监督管理局	白云区局人和市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市白云区钟落潭镇金盆村金盆南路286号之一	914401113402260652	广东省药品监督管理局	白云区局钟落潭市场管理所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市白云区江高镇珠江村凤翔南路47号3栋	914401113402260652	广东省药品监督管理局	白云区局江高市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市花都区花山镇启源大道6号4栋405房	914401113402260652	广东省药品监督管理局	花都区局花山市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市白云区白云湖街夏茅十八社龙塘工业区A8栋B座第四、五层、向西工业大街三横48号一层	914401113402260652	广东省药品监督管理局	白云区局白云湖市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市番禺区石楼镇腾达东路22号（3#厂房）F座5楼	914401113402260652	广东省药品监督管理局	番禺区局石楼市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市白云区新科科甲兆兴路1号101铺（三楼）	914401113402260652	广东省药品监督管理局	白云区局嘉禾市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市白云区太和镇沙亭大塘飞来岭东路8号101	914401113402260652	广东省药品监督管理局	白云区局太和市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	广州市白云区长红双和工业园横路5号（一栋1楼、二栋1楼）	914401113402260652	广东省药品监督管理局	白云区局嘉禾市场监管所	2024-05-09	2020-11-24	
广州和陆生物科技有限公司	四会市江谷镇精细化工园区创新大道15号	914401113402260652	广东省药品监督管理局	四会市市场监督管理局	2024-05-09	2020-11-24	
广州市茗凯化妆品有限公司	广州市白云区人和镇秀盛路鹤亭工业区北四路6号B02座一楼三楼	91440111691544276W	广东省药品监督管理局	白云区局人和市场监管所	2021-11-24	2020-11-13	
广州和陆生物科技有限公司	厦门市同安区榕溪路7号四楼	914401113402260652	广东省药品监督管理局	福建省药品监督管理局厦门药品稽查办公室	2024-05-09	2020-11-24	
广州市茗凯化妆品有限公司	广州市白云区均禾街罗岗五社22号A栋、B栋1楼	91440111691544276W	广东省药品监督管理局	白云区局均禾市场监管所	2021-11-24	2020-11-13	
广州市茗凯化妆品有限公司	苏州工业园区同胜路1号	91440111691544276W	广东省药品监督管理局	江苏省药品监督管理局(苏州分局)	2021-11-24	2020-11-13	
广州市茗凯化妆品有限公司	广州市白云区龙归街夏良东路21号A栋	91440111691544276W	广东省药品监督管理局	白云区局太和市场监管所	2021-11-24	2020-11-13	
广州市茗凯化妆品有限公司	长治高新区德式工业园区	91440111691544276W	广东省药品监督管理局	山西省药品监督管理局	2021-11-24	2020-11-13	
广州市茗凯化妆品有限公司	汕头市潮南区峡山街道广洋大道周凯迪工业区第1幢6楼	91440111691544276W	广东省药品监督管理局	汕头市潮南区市场监督管理局	2021-11-24	2020-11-13	
广州市丹莹化妆品有限公司	广州市白云区太和镇永兴村陈太路工业区第七社	914401117163687089	广东省药品监督管理局	白云区局太和市场监管所	2024-04-16	2020-11-12	
广州市丹莹化妆品有限公司	广州市花都区庄贤路53号1栋301室、401室、501室	914401117163687089	广东省药品监督管理局	花都区局新雅市场监管所	2024-04-16	2020-11-12	
广州市丹莹化妆品有限公司	佛山市南海区丹灶镇金沙南沙新墟	914401117163687089	广东省药品监督管理局	佛山市市场监督管理局 南海区市场监督管理局	2024-04-16	2020-11-12	
广州市丹莹化妆品有限公司	南海狮山软件科技园	914401117163687089	广东省药品监督管理局	佛山市市场监督管理局 南海区市场监督管理局	2024-04-16	2020-11-12	
广州市丹莹化妆品有限公司	佛山市三水区乐平镇西二环东辅道19号2座	914401117163687089	广东省药品监督管理局	佛山市市场监督管理局  三水区市场监督管理局	2024-04-16	2020-11-12	
广州市丹莹化妆品有限公司	佛山市南海区狮山镇松岗石泉中桥开发区6号（住所申报）	914401117163687089	广东省药品监督管理局	佛山市市场监督管理局 南海区市场监督管理局	2024-04-16	2020-11-12	
广州市丹莹化妆品有限公司	佛山市南海区大沥镇黄岐泌冲村&ldquo;烟斗岗&rdquo;泌冲路99号D座2楼.3楼	914401117163687089	广东省药品监督管理局	佛山市市场监督管理局 南海区市场监督管理局	2024-04-16	2020-11-12	
